phi,N,T,rejection_rate,mean_jdm,std_jdm,mean_loss_diff,mean_sigma_hat
0.5,50,50,0.106,0.02126715666957169,1.2239463221370122,0.0008650128119754695,2.9153519301035686
0.5,50,100,0.085,-0.025288579157209296,1.1427366643589845,-0.0011257033150553278,3.0927208197497844
0.5,50,500,0.064,0.014660712743550448,1.037204880465203,0.00023610485466540185,3.289870943628174
0.5,50,1000,0.049,-0.05531495469643162,1.0064598521087365,-0.0008174309656322968,3.314390200398406
0.5,100,50,0.096,-0.03557352188113916,1.1595552563298277,-0.0014843067936651042,2.9108268137554973
0.5,100,100,0.089,-0.011735956561338778,1.1546064522774504,-0.0004017585154080418,3.097806534808667
0.5,100,500,0.066,-0.025118830505329655,1.0719895810178064,-0.0003888156372869814,3.27889022215458
0.5,100,1000,0.055,0.04356365272853424,1.0270353489959103,0.0004513342737179869,3.322113721098332
0.8,50,50,0.228,-0.04751912084423447,1.6676841837811984,-0.00483948445929094,7.0807705928435665
0.8,50,100,0.185,-0.09502194281279228,1.4792299012316945,-0.011326649342895526,8.156137021671869
0.8,50,500,0.095,-0.04694342085802201,1.2130258379236922,-0.0026829001676892898,9.788399872155072
0.8,50,1000,0.086,0.058210973293762965,1.1770344496339786,0.002507839007575549,10.235747700211675
0.8,100,50,0.236,0.011536129755678595,1.7025285344262249,0.0011043939860030374,7.133603443802567
0.8,100,100,0.182,-0.02676878372659386,1.4589732279307963,-0.0023056150719498476,8.130434357361462
0.8,100,500,0.109,0.02496737759927676,1.2457146994358992,0.0009903766504510603,9.78337354519418
0.8,100,1000,0.108,-0.0010776212703371853,1.1754653933284236,-0.00014254915601952107,10.261397534519318
