time,sqerr_ar1,sqerr_naive,loss_diff_ar1_minus_naive
2,1.1656124190175465,1.372583649328684,-0.2069712303111374
3,0.984644579859709,1.2234562951794572,-0.23881171531974826
4,0.931789949662265,1.0768295948983724,-0.14503964523610727
5,1.0894364599548814,1.5455315923549282,-0.4560951324000468
6,1.2637230142920766,1.70610116837388,-0.44237815408180353
7,0.8928318152104494,1.1600876925530255,-0.26725587734257605
8,0.9709298603967565,1.3896479522587777,-0.4187180918620212
9,0.879604594935008,1.010915287139224,-0.13131069220421618
10,0.5571649189899717,0.8072451212304748,-0.2500802022405032
11,0.8015229795372213,1.1440425607028029,-0.3425195811655815
12,1.1045225795592808,1.2339992079654758,-0.1294766284061949
13,1.209501828169222,1.3039726556773732,-0.09447082750815104
14,0.953090308259612,1.211815492771852,-0.2587251845122399
15,0.6385917657253417,0.9243880867232643,-0.2857963209979226
16,1.0744757126921736,1.3627435988750773,-0.2882678861829037
17,0.9155574188523922,1.3542684166388992,-0.4387109977865072
18,0.997196815208244,1.1769683170001581,-0.17977150179191434
19,0.8262193394941079,1.1650089266600627,-0.33878958716595475
20,0.6753250139551448,0.9291404790350029,-0.2538154650798581
21,0.8745488670261953,1.0116138374238735,-0.13706497039767818
22,1.300485198929587,1.544488227941153,-0.24400302901156606
23,0.8014567312587008,1.159617114616216,-0.3581603833575152
24,0.886518339092159,0.9711740777504975,-0.0846557386583384
25,1.3660869566321312,1.667207570786501,-0.3011206141543699
26,1.0325196588686725,1.3140672663662618,-0.2815476074975895
27,1.025480274437298,1.2018893925300298,-0.17640911809273185
28,1.1183191984375025,1.2230054556052379,-0.1046862571677353
29,1.1303816339955837,1.3198114613021925,-0.18942982730660887
30,1.0997112762774364,1.3511039223841486,-0.2513926461067122
31,0.987511672308303,1.3354876868294008,-0.347976014521098
32,0.932363669625549,1.2434265570145153,-0.3110628873889664
33,1.6009600870993785,1.647048851507305,-0.046088764407926607
34,0.9710851540433743,1.5512112877776054,-0.580126133734231
35,0.9882916812946069,1.1800085118024604,-0.19171683050785351
36,0.9648612690826098,1.3402559663561817,-0.375394697273572
37,0.9634739173389038,1.1271441162673497,-0.16367019892844595
38,0.6749594737064538,0.7898776884056572,-0.11491821469920344
39,0.8208266017762651,1.1008494162405429,-0.2800228144642778
40,1.0411693524447805,1.3626229490995048,-0.32145359665472434
41,0.8764488491921234,1.192203464964769,-0.31575461577264546
42,1.1730170062480159,1.339115519971881,-0.16609851372386517
43,0.9051881949879782,1.0296014619049934,-0.12441326691701501
44,0.8515634586828702,1.3968151767432673,-0.5452517180603971
45,1.0701555862052659,1.0409819454625544,0.029173640742711334
46,1.346816989857404,1.5508439949793396,-0.20402700512193533
47,0.9311126608944355,1.4362221385289424,-0.505109477634507
48,1.3261560210604255,1.3873458453041723,-0.06118982424374657
49,0.9700311166597868,1.1359462982932937,-0.16591518163350696
50,0.5259875080796843,0.9688678849687373,-0.44288037688905296
51,0.8591620391035358,0.9612863849013193,-0.1021243457977835
52,1.03161164905799,1.0697207659388601,-0.038109116880870084
53,1.0063671542842803,1.1769977352015675,-0.17063058091728725
54,0.7184802876670909,0.9175229582769964,-0.1990426706099056
55,0.8468117720470228,1.0328451685537527,-0.18603339650672993
56,1.086866760589357,1.1550178523917831,-0.06815109180242604
57,1.0224388979704422,1.475208541019765,-0.452769643049323
58,1.1210892035201205,1.3951849347914658,-0.2740957312713449
59,0.7696873175744665,1.0231361216597425,-0.2534488040852759
60,1.2573920860621615,1.6900019401435715,-0.4326098540814102
61,0.8235348426642589,1.2099685920163306,-0.38643374935207164
62,0.9570215579680427,1.062269679327695,-0.10524812135965213
63,1.1373319818478256,1.3513344505605922,-0.2140024687127665
64,1.227746784379329,1.451012776429463,-0.2232659920501338
65,0.7086521154969099,1.1293725468637295,-0.42072043136681964
66,0.8519231603098076,0.9587859703852079,-0.1068628100754001
67,1.1977957801337018,1.5156098287303854,-0.31781404859668366
68,1.156776200266438,1.3304055002515935,-0.17362929998515553
69,0.6827605372498722,0.8697978575974763,-0.1870373203476041
70,1.1208347949976198,1.213978936358764,-0.09314414136114407
71,1.2619270564475782,1.515777382384608,-0.2538503259370296
72,1.1010495278793286,1.5480743193534117,-0.4470247914740829
73,0.8779297117069156,1.1398919720193772,-0.26196226031246167
74,1.1525620843899533,1.5530412706455112,-0.4004791862555581
75,1.254709232991399,1.432694244246794,-0.17798501125539518
76,1.2752006917407126,1.6833459955842247,-0.408145303843512
77,1.124646428027243,1.6120026260561588,-0.4873561980289159
78,0.743841524742126,0.9948680582047111,-0.2510265334625852
79,0.9963505451338122,1.3124298496608295,-0.3160793045270173
80,0.8527685085316254,1.1030166592473134,-0.2502481507156879
81,0.953568169563406,1.324947368429313,-0.3713791988659071
82,1.3863088094283027,1.5219679203647163,-0.13565911093641375
83,0.836398937297432,1.1285779747198403,-0.29217903742240836
84,1.055847100939453,1.3479347696704722,-0.2920876687310191
85,1.1220743784328484,1.3991632503452482,-0.27708887191239945
86,1.1598424458355079,1.2849241536231637,-0.12508170778765568
87,0.9769837760867014,1.2300017325560098,-0.25301795646930825
88,0.6764394878283498,1.1721342178691376,-0.4956947300407878
89,1.1403343404146191,1.1587520163902267,-0.018417675975607607
90,1.0500753360289499,1.075919103018633,-0.025843766989683204
91,0.6580418372216802,1.1323577558908549,-0.47431591866917455
92,1.1358319806515333,1.5146239605893965,-0.3787919799378631
93,0.8486191249409056,1.225600467859211,-0.3769813429183053
94,0.7461599974702231,1.033072905092191,-0.28691290762196764
95,1.2697747874128937,1.6740827027353944,-0.4043079153225007
96,0.9209854594123738,1.1381468766760938,-0.21716141726371993
97,1.0845389820230074,1.488332297960807,-0.40379331593779966
98,1.2517663524632314,1.2722070019522944,-0.02044064948906288
99,0.6430136257487056,1.0500644880700167,-0.40705086232131116
100,0.9344395913143683,0.8894645571634416,0.04497503415092665
